Artist;Title;Decade;Themes;Final;Tab
Michel Sardou;Être une femme;70;C'est Michel !,Vous les femmes,Changement de sexe,À l'infinitif;MC;https://tabs.ultimate-guitar.com/tab/michel-sardou/etre-un-femme-chords-1701075
Mika;Elle me dit;2010;C'est celui qui dit...,En 4 lettres;MC;https://tabs.ultimate-guitar.com/tab/mika/elle-me-dit-chords-2207775
Mozart l'Opéra Rock,Mozart l'Opéra Rock (Florent Mothe);Le Bien qui fait Mal;2010;Les comédies musicales,Avec le verbe faire;_;https://tabs.ultimate-guitar.com/tab/2857733
Mozart l'Opéra Rock,Mozart l'Opéra Rock (Mikelangelo Loconte);Tatoue-moi;2010;Les comédies musicales,À l'impératif,C'est moi;MC;https://www.boiteachansons.net/Partitions/Mozart-L-opera-rock/Tatoue-moi.php
Mylène Farmer;Désenchantée;90;Les rousses;MC;https://tabs.ultimate-guitar.com/tab/899052
Natasha St-Pier;Tu trouveras;2000;Chercher et trouver,Au futur;MC;https://tabs.ultimate-guitar.com/tab/natasha-st-pier/tu-trouveras-chords-854258
Niagara;L'amour à la plage;80;C'est l'amour;MC;https://tabs.ultimate-guitar.com/tab/2859374
Nino Ferrer;Mirza;60;En 5 lettres,Les animaux;_;https://www.boiteachansons.net/Partitions/Nino-Ferrer/Mirza.php
Olivia Ruiz;La femme chocolat;2000;Génération Starac,Bon appétit,Vous les femmes;MC;https://www.boiteachansons.net/Partitions/Olivia-Ruiz/La-femme-chocolat.php
Ophélie Winter;Dieu m'a donné la foi;90;Winter is coming,W comme...,Automne ou hiver ?;MC;
Pascal Obispo;Fan;2000;En 3 lettres;MC;https://tabs.ultimate-guitar.com/tab/pascal-obispo/fan-chords-517601
Pascal Obispo;L'important c'est d'aimer;90;Aimer à l'infinitif;MC;https://tabs.ultimate-guitar.com/tab/pascal-obispo/limportant-cest-daimer-chords-517604
Pascal Obispo;Lucie;90;Les prénoms,Lucifer;MC;https://tabs.ultimate-guitar.com/tab/pascal-obispo/lucie-chords-2325701
Patrick Bruel;Alors regarde;80;Les Patricks,T'as de beaux yeux,Initiales PB,Alors quoi ?;MC;https://tabs.ultimate-guitar.com/tab/patrick-bruel/alors-regarde-chords-1701786
Patrick Bruel;Place des grands hommes;90;Les Patricks,Dans la place,Initiales PB,Petit ou grand ?;MC;https://www.boiteachansons.net/Partitions/Patrick-Bruel/Place-des-Grands-Hommes.php
Patrick Bruel;J'te l'dis quand même;90;Les Patricks,C'est celui qui dit...,Initiales PB;MC;https://tabs.ultimate-guitar.com/tab/1692517
Patrick Sébastien;Les sardines;2000;Les Patricks,Les animaux,Double prénoms;MC;https://www.boiteachansons.net/Partitions/Patrick-Sebastien/Les-sardines.php
Philippe Katerine;Louxor j'adore;2000;K comme...,Tous en boite;_;https://www.boiteachansons.net/Partitions/Philippe-Katerine/Louxor-j-adore.php
Plastic Bertrand;Ça plane pour moi;70;Initiales PB,Les pseudos,C'est moi,Ça;_;https://tabs.ultimate-guitar.com/tab/plastic-bertrand/ca-plane-pour-moi-chords-492535
Richard Cocciante;Le coup de soleil;70;Soleil Soleil,Bulletin météo;MC;https://tabs.ultimate-guitar.com/tab/riccardo-cocciante/le-coup-de-soleil-chords-1993495
Rita Mitsouko;Les Histoires d'A;80;C'est l'amour;_;https://tabs.ultimate-guitar.com/tab/les-rita-mitsouko/les-histoires-d-a-chords-75221
Rita Mitsouko;Marcia Baïla;80;Chansons hommages,Les prénoms,Titre espagnol;MC;https://tabs.ultimate-guitar.com/tab/les-rita-mitsouko/marcia-baila-chords-1862336
Serge Lama;Je suis malade;70;Que suis-je ?;MC;https://tabs.ultimate-guitar.com/tab/dalida/je-suis-malade-chords-1055080
Soprano;Cosmo;2010;Les rappeurs,En 5 lettres,Les pseudos;_;https://tabs.ultimate-guitar.com/tab/soprano/cosmo-chords-1906168
Starmania,Starmania (Claude Dubois);Le Blues du businessman;70;Le blues,Les comédies musicales,Les Québecquois;MC;https://tabs.ultimate-guitar.com/tab/michel-berger/le-blues-du-businessman-chords-1721050
Starmania,Starmania (Daniel Balavoine);Quand on arrive en ville;70;Les comédies musicales,Ville ou Campagne,Quand ?;MC;https://tabs.ultimate-guitar.com/tab/michel-berger/quand-on-arrive-en-ville-chords-1721594
Starmania,Starmania (Fabienne Thibeault);Ziggy (Un garçon pas comme les autres);70;Z comme...,Titre à rallonge,Les comédies musicales;MC;https://tabs.ultimate-guitar.com/tab/michel-berger/un-garcon-pas-comme-les-autres-chords-1721615
Stromae;Alors on danse;2010;Stro-Maé,Les rappeurs,Voulez-vous danser ?,Alors quoi ?,Les Belges;_;https://tabs.ultimate-guitar.com/tab/stromae/alors-on-danse-chords-1082793
Tal;Le sens de la vie;2010;"En 3 lettres,Vous avez 4 heures,Avec le mot ""vie""";MC;https://www.boiteachansons.net/Partitions/Tal/Le-sens-de-la-vie.php
Téléphone;Cendrillon;80;Rock,En 10 lettres,Les groupes;MC;https://www.boiteachansons.net/Partitions/Telephone/Cendrillon.php
Téléphone;Un autre monde;80;Rock,Presque le même titre,Les groupes;MC;https://tabs.ultimate-guitar.com/tab/804223
Tété;À la faveur de l'automne;2000;Bis repetita,Automne ou hiver ?,Rupture difficile;MC;https://tabs.ultimate-guitar.com/tab/tete/a-la-faveur-de-lautomne-chords-1507776
Thierry Hazard;Le Jerk;90;Voulez-vous danser ?;MC;https://tabs.ultimate-guitar.com/tab/thierry-hazard/le-jerk-chords-1718967
Tina Arena;Aller plus haut;2000;Avec le verbe aller,Haut les coeurs,À l'infinitif;MC;https://tabs.ultimate-guitar.com/tab/tina-arena/aller-plus-haut-chords-1996093
Tina Arena;Aimer jusqu'à l'impossible;2000;Aimer à l'infinitif,À l'infinitif;MC;https://tabs.ultimate-guitar.com/tab/tina-arena/aimer-jusqu-limpossible-chords-766937
Trust;Antisocial;90;Rock,Les groupes,En 5 lettres;_;https://tabs.ultimate-guitar.com/tab/trust/antisocial-tabs-87197
Vanessa Paradis;Tandem;90;Signé Gainsbourg,Moyens de transport;MC;https://tabs.ultimate-guitar.com/tab/vanessa-paradis/tandem-chords-2900342
Véronique Sanson;Chanson sur ma drôle de vie;70;"Si on chantait ?,Bande originale,La même chanson,Avec le mot ""vie""";MC;https://tabs.ultimate-guitar.com/tab/1707559
Véronique Sanson;Besoin de personne;70;En solitaire;MC;https://tabs.ultimate-guitar.com/tab/1720693
Vianney;Pas là;2010;Prénoms originaux,Où ?;_;https://tabs.ultimate-guitar.com/tab/1736685
William Baldé;Rayon de soleil;2000;W comme...,Soleil Soleil,Bulletin météo;_;https://tabs.ultimate-guitar.com/tab/1992289
Yannick;Ces soirées-là;2000;Les rappeurs,L'originale ou la reprise;_;
Zaz;Je veux;2010;En 3 lettres,Z comme...,Les Isabelles;MC;https://tabs.ultimate-guitar.com/tab/zaz/je-veux-chords-991205
Zazie;Larsen;2000;En 6 lettres,Z comme...,Les Isabelles;_;https://tabs.ultimate-guitar.com/tab/zazie/larsen-chords-2604864
Zazie;Rue de la Paix;2000;En 5 lettres,Z comme...,Les Isabelles;MC;https://tabs.ultimate-guitar.com/tab/zazie/rue-de-la-paix-chords-581453
Renaud,Renaud et Axelle Red;Manhattan-Kaboul;2000;Les rousses;MC;https://tabs.ultimate-guitar.com/tab/renaud/manhattan-kaboul-chords-956316
Patricia Kaas;Mon mec à moi;90;Possessif;MC;https://tabs.ultimate-guitar.com/tab/patricia-kaas/mon-mec-a-moi-chords-1995827
Tragédie;Hey Oh;2000;Dans la place,Les groupes,Onomatopée,Titre en anglais;_;https://www.ultimate-tabs.com/tragedie/hey-oh-chords
Disney;L'air du vent;90;Disney,Les animaux;MC;https://tabs.ultimate-guitar.com/tab/misc-cartoons/pocahontas-lair-du-vent-chords-1759067
Kyo;Dernière danse;2000;Les groupes,En 3 lettres,K comme...,Voulez-vous danser ?;MC;https://tabs.ultimate-guitar.com/tab/855138
Téléphone;Ca c'est vraiment toi;80;Rock,Presque le même titre,Les groupes,C'est moi,Ça;_;https://tabs.ultimate-guitar.com/tab/2736873
Indochine;L'aventurier;80;Rock,Les groupes;MC;https://tabs.ultimate-guitar.com/tab/indochine/l-aventurier-tabs-104205
Noir Désir;L'homme pressé;90;Rock,Les groupes,Que suis-je ?;MC;https://tabs.ultimate-guitar.com/tab/2338237
Bénabar;Le diner;2000;Les Bens,Les pseudos;MC;https://tabs.ultimate-guitar.com/tab/1810547
Patricia Kaas;Il me dit que je suis belle;90;C'est celui qui dit...,Vous les femmes,Que suis-je ?;MC;https://tabs.ultimate-guitar.com/tab/patricia-kaas/il-me-dit-que-je-suis-belle-chords-2931005
